,DateTime,Open,High,Low,Close,Volume
1289,20220622  09:50:00,372.55,374.5,371.7,373.545,-1
1290,20220622  10:00:00,373.545,374.025,372.77,374.02,-1
1291,20220622  10:10:00,374.02,375.925,373.56,375.92,-1
1292,20220622  10:20:00,375.92,377.015,375.59,376.83,-1
1293,20220622  10:30:00,376.83,377.96,376.66,377.885,-1
1294,20220622  10:40:00,377.885,377.94,376.325,376.77,-1
1295,20220622  10:50:00,376.77,377.085,376.425,376.785,-1
1296,20220622  11:00:00,376.785,376.885,375.445,376.165,-1
1297,20220622  11:10:00,376.165,376.86,375.925,376.69,-1
1298,20220622  11:20:00,376.69,377.015,376.175,376.705,-1
1299,20220622  11:30:00,376.705,377.68,376.685,377.255,-1
1300,20220622  11:40:00,377.255,377.315,375.315,375.85,-1
1301,20220622  11:50:00,375.85,375.975,374.585,374.67,-1
1302,20220622  12:00:00,374.67,375.82,374.105,374.45,-1
1303,20220622  12:10:00,374.45,375.645,374.36,375.54,-1
1304,20220622  12:20:00,375.54,375.89,375.33,375.51,-1
1305,20220622  12:30:00,375.51,376.31,375.43,375.64,-1
1306,20220622  12:40:00,375.64,376.35,375.64,375.985,-1
1307,20220622  12:50:00,375.985,376.52,375.705,376.445,-1
1308,20220622  13:00:00,376.445,376.575,375.505,375.955,-1
1309,20220622  13:10:00,375.955,376.905,375.92,376.865,-1
1310,20220622  13:20:00,376.865,377.38,376.755,377.075,-1
1311,20220622  13:30:00,377.075,377.095,376.265,376.85,-1
1312,20220622  13:40:00,376.85,377.45,376.675,377.4,-1
1313,20220622  13:50:00,377.4,377.445,376.635,377.105,-1
1314,20220622  14:00:00,377.105,378.545,376.96,378.405,-1
1315,20220622  14:10:00,378.405,378.73,378.035,378.445,-1
1316,20220622  14:20:00,378.445,378.5,377.235,377.33,-1
1317,20220622  14:30:00,377.33,377.6,377.255,377.31,-1
1318,20220622  14:40:00,377.31,377.495,376.645,376.645,-1
1319,20220622  14:50:00,376.645,377.395,376.49,377.25,-1
1320,20220622  15:00:00,377.25,377.595,376.705,376.89,-1
1321,20220622  15:10:00,376.89,377.08,376.435,376.535,-1
1322,20220622  15:20:00,376.535,376.88,375.495,375.76,-1
1323,20220622  15:30:00,375.76,376.09,374.775,375.13,-1
1324,20220622  15:40:00,375.13,375.395,374.345,374.73,-1
1325,20220622  15:50:00,374.73,375.87,374.245,374.365,-1
1326,20220623  09:30:00,376.66,377.385,375.695,375.97,-1
1327,20220623  09:40:00,375.97,377.16,375.52,376.375,-1
1328,20220623  09:50:00,376.375,377.205,374.795,377.02,-1
1329,20220623  10:00:00,377.02,377.57,375.86,375.9,-1
1330,20220623  10:10:00,375.9,376.495,375.305,376.19,-1
1331,20220623  10:20:00,376.19,377.16,375.965,376.39,-1
1332,20220623  10:30:00,376.39,377.06,375.775,377.055,-1
1333,20220623  10:40:00,377.055,377.87,377.05,377.28,-1
1334,20220623  10:50:00,377.28,378.1,376.93,377.825,-1
1335,20220623  11:00:00,377.825,377.895,376.745,377.35,-1
1336,20220623  11:10:00,377.35,378.205,377.155,377.755,-1
1337,20220623  11:20:00,377.755,377.95,376.745,376.935,-1
1338,20220623  11:30:00,376.935,377.265,375.505,375.59,-1
1339,20220623  11:40:00,375.59,376.285,375.435,376.24,-1
1340,20220623  11:50:00,376.24,376.255,375.06,375.2,-1
1341,20220623  12:00:00,375.2,375.325,373.89,374.32,-1
1342,20220623  12:10:00,374.32,375.255,374.045,374.985,-1
1343,20220623  12:20:00,374.985,375.435,374.55,374.6,-1
1344,20220623  12:30:00,374.6,374.89,373.555,373.72,-1
1345,20220623  12:40:00,373.72,374.265,373.3,373.77,-1
1346,20220623  12:50:00,373.77,374.075,373.08,373.57,-1
1347,20220623  13:00:00,373.57,374.23,372.885,373.855,-1
1348,20220623  13:10:00,373.855,374.405,373.81,374.15,-1
1349,20220623  13:20:00,374.15,374.65,373.655,373.86,-1
1350,20220623  13:30:00,373.86,374.405,373.535,373.84,-1
1351,20220623  13:40:00,373.84,374.275,373.32,374.24,-1
1352,20220623  13:50:00,374.24,374.99,374.185,374.85,-1
1353,20220623  14:00:00,374.85,375.14,374.58,374.945,-1
1354,20220623  14:10:00,374.945,375.19,374.53,374.82,-1
1355,20220623  14:20:00,374.82,375.605,374.55,375.51,-1
1356,20220623  14:30:00,375.51,376.525,375.46,376.35,-1
1357,20220623  14:40:00,376.35,376.405,375.745,375.99,-1
1358,20220623  14:50:00,375.99,376.19,375.835,376.16,-1
1359,20220623  15:00:00,376.16,376.675,375.705,376.435,-1
1360,20220623  15:10:00,376.435,376.635,375.985,376.43,-1
1361,20220623  15:20:00,376.43,377.185,376.285,376.935,-1
1362,20220623  15:30:00,376.935,378.16,376.925,377.53,-1
1363,20220623  15:40:00,377.53,378.515,377.425,378.495,-1
1364,20220623  15:50:00,378.495,378.835,377.655,378.125,-1
1365,20220624  09:30:00,381.42,382.955,381.355,382.33,-1
1366,20220624  09:40:00,382.33,383.985,382.16,383.985,-1
1367,20220624  09:50:00,383.985,384.12,383.52,383.785,-1
1368,20220624  10:00:00,383.785,387.025,383.785,386.865,-1
1369,20220624  10:10:00,386.865,386.96,386.035,386.61,-1
1370,20220624  10:20:00,386.61,387.17,386.275,386.52,-1
1371,20220624  10:30:00,386.52,386.8,386.005,386.155,-1
1372,20220624  10:40:00,386.155,386.63,385.675,386.475,-1
1373,20220624  10:50:00,386.475,386.835,386.12,386.485,-1
1374,20220624  11:00:00,386.485,387.18,386.435,386.95,-1
1375,20220624  11:10:00,386.95,387.035,385.96,386.085,-1
1376,20220624  11:20:00,386.085,386.975,386.045,386.915,-1
1377,20220624  11:30:00,386.915,387.065,386.49,387.005,-1
